system:index,crop_label,soil_oc,soil_ph,soil_texture,.geo
162,0,2.0,75.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.73981290260647,36.612321624509896]}"
163,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.78023709039185,36.51018317670551]}"
164,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.73927391343601,36.66433407946042]}"
165,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.96888330005696,36.5942654872991]}"
166,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.16336398478698,36.09893443963559]}"
167,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.36315387825701,36.89636891734849]}"
168,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.39899665809338,35.6337867855185]}"
169,0,4.0,71.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.29685821028899,34.89698858948367]}"
170,0,2.0,81.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.89800622413992,36.57782631759971]}"
171,0,2.0,75.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.10326669227939,36.242305558981066]}"
172,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.06158943737809,36.883163682671935]}"
173,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.16884828230197,37.147807365373545]}"
174,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.68618348014455,36.76647252726481]}"
175,0,4.0,75.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.17414376819642,35.853694367070965]}"
176,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.83970098791872,34.95924183867316]}"
177,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.97723763219926,36.68185122750075]}"
178,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.19741470833696,36.83869707610802]}"
179,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.71906181954331,36.56731602877551]}"
180,0,3.0,75.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.56284936591679,37.47551278102035]}"
181,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.6603119999619,36.65759671482952]}"
182,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.88928799160212,35.222807543033824]}"
183,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.67648167507605,36.69559545134778]}"
184,0,3.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.00732661993543,35.103151947189104]}"
185,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.58700947277775,36.461674151363056]}"
186,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.32047932797948,35.93723768849408]}"
187,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.19246939999245,35.68067884334954]}"
188,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.1338139862213,36.91900646250831]}"
189,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.19327788374817,35.814348157626526]}"
190,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.76002499649917,36.552224332002304]}"
191,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.15420116888896,35.7510169300961]}"
192,0,4.0,73.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.11296849734788,35.58958967353983]}"
193,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.1574351039118,35.7900936449553]}"
194,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.4817314957608,37.07719978404175]}"
195,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.89315532160568,36.50587126334174]}"
196,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.92441669349304,36.59237902520245]}"
197,0,2.0,75.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.58063600854236,35.648878482291714]}"
198,0,2.0,81.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.87958618653363,35.235743283125146]}"
199,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.82928510490478,36.944877942690944]}"
200,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.8481497258713,36.940835523912405]}"
201,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.7136719278386,36.5702804692131]}"
202,0,5.0,74.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.12617373202443,35.6186950887453]}"
203,0,2.0,78.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.76137246942535,36.65409328522146]}"
204,0,3.0,74.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.42756308412838,35.648608987706474]}"
205,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.27816867809746,35.80841927675134]}"
206,0,2.0,79.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.08261001502649,36.81390357426632]}"
207,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.39297337140793,35.62920537756949]}"
208,0,2.0,74.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.22059124266724,36.79342198578839]}"
209,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.99125135063153,36.77267090272523]}"
210,0,2.0,76.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.66381542956996,36.53551566771768]}"
211,0,2.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.1086565839841,35.82458895186549]}"
212,0,2.0,77.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.97885459971069,36.53255122728009]}"
213,0,2.0,75.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.97948799469143,36.06363064896969]}"
214,0,2.0,77.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.04029936514446,36.124536425232996]}"
215,0,1.0,80.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.7985627221879,36.52823931391631]}"
