system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
67,424.5,592.5,868.5,998.0,1056.0,1161.0,1347.5,1577.0,1035.0,1340.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.26411213701991,34.8355438240499]}"
68,439.0,742.5,856.5,1478.5,2415.0,2616.5,2851.5,2168.0,1433.0,2824.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.61715004367889,35.69469256178181]}"
69,725.0,1047.0,1556.0,1818.0,1954.0,2123.0,2385.0,2706.0,1906.0,2432.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.57618686672303,35.66316169530921]}"
70,427.0,607.0,948.0,1128.0,1253.0,1377.0,1575.0,1670.0,1036.0,1634.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32959932123222,35.65750230901926]}"
71,570.5,964.0,1298.5,1723.0,2139.5,2417.5,2569.0,2819.5,1962.0,2603.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.80983867212252,34.8040129575773]}"
72,657.0,1022.5,1417.0,1699.5,1786.0,1966.0,2171.5,2664.5,1925.5,2192.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.79798091037215,34.828536964833766]}"
73,358.0,630.0,690.0,1324.0,2340.0,2588.0,2778.0,2238.0,1514.0,2832.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.88368018847714,34.885939311489004]}"
74,711.0,1099.0,1605.5,1916.0,2032.5,2159.0,2289.5,3205.0,2739.5,2345.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.33697008084386,35.36024978150411]}"
75,651.0,1012.0,1295.0,1862.0,2446.0,2647.0,2953.0,2570.0,1641.0,2933.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.33579769669265,35.76287469184648]}"
76,687.5,1004.5,1452.0,1772.5,2005.5,2143.0,2393.5,3088.5,2128.0,2443.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65460979102667,35.73269129830006]}"
77,659.0,956.0,1452.5,1662.0,1808.5,1970.5,2191.0,3087.0,2372.5,2247.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.21354156080584,35.063805737744666]}"
78,518.0,769.0,1157.0,1358.0,1454.0,1601.0,1788.0,2049.0,1260.0,1796.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.58130726384252,35.02769346332306]}"
79,833.0,1291.0,1646.5,2317.0,3144.5,3403.0,3662.5,3572.0,2297.5,3723.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.40272675964141,35.6405241501494]}"
80,860.0,1221.5,1750.5,2119.5,2419.0,2626.5,2901.5,3574.5,2584.0,2959.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.9607556398546,35.7900936449553]}"
81,690.0,900.0,1309.0,1517.0,1625.0,1771.0,1984.0,2436.0,1754.0,2021.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.5737614154559,35.69091963758851]}"
82,555.0,865.0,1351.0,1663.0,1870.5,2115.5,2424.0,1925.0,1120.5,2471.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.27866484462265,34.81317577347532]}"
83,615.5,890.5,1288.5,1513.0,1652.0,1808.5,1964.5,2243.0,1546.5,2045.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.27165798540652,34.85171349916405]}"
84,1087.5,1530.5,2238.0,2647.5,2875.0,3132.0,3441.0,4169.0,2739.0,3565.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.36823145273122,35.63702072054134]}"
85,564.5,770.5,1098.5,1314.5,1422.5,1580.5,1767.0,2247.5,1511.0,1813.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.21641159543317,34.8926766761199]}"
