system:index,crop_label,topo_aspect,topo_elevation,topo_slope,topo_tpi,topo_twi,.geo
2585,3,52.261013,19.0,1.5149933,-1.4826498,3.632583,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.84873203398843,39.2877282987093]}"
2586,3,-0.0,44.0,2.7802885,-1.3312303,3.0248868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.17455098753857,39.09854309987372]}"
2587,3,90.0,27.0,3.5793009,1.4542587,2.7717574,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.08669575275168,39.07078515759443]}"
2588,3,-0.0,32.0,0.0,0.55520505,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.21874809951726,39.32491855147184]}"
2589,3,68.95078,77.0,2.5805728,0.2807571,3.099539,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.26375369525164,39.673105555596564]}"
2590,3,180.0,90.0,0.92740995,-1.4195584,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.09720604157587,38.9713416556424]}"
2591,3,327.227,77.0,2.2050643,-0.8643533,3.2569764,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.16862210666338,39.044913677411785]}"
2592,3,-0.0,12.0,0.0,-1.5236593,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.94197716048002,38.923102124885176]}"
2593,3,270.0,9.0,2.3691154,0.96845424,3.1851401,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.6870352828469,38.50646349611054]}"
2594,3,-0.0,64.0,0.92740995,1.0914826,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.1492184965264,39.0465306449232]}"
2595,3,232.39694,47.0,1.5196534,-1.0725552,3.6295102,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.13897770228743,39.62917793820312]}"
2596,3,90.0,49.0,1.2043756,-0.71924293,3.8621185,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.76680568007671,39.64723407541392]}"
2597,3,90.0,104.0,1.1917013,2.4037855,3.8727007,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.06675315344422,38.90585447143008]}"
2598,3,315.96835,23.0,5.146326,-0.3753943,2.4072497,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.10124846035441,39.12333660171542]}"
2599,3,-0.0,54.0,0.92740995,0.07886435,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.82124358629436,39.671488588085154]}"
2600,3,180.0,47.0,0.92740995,0.36908516,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.2432721067737,39.54455663843906]}"
2601,3,52.115906,14.0,1.5100591,-0.340694,3.6358466,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.94413311716191,38.91905970610664]}"
2602,3,232.0134,24.0,1.5065987,0.8801262,3.6381419,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.83229286428903,38.656032990916444]}"
2603,3,32.73923,84.0,2.2042289,-0.55520505,3.2573557,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.07052607763754,38.9532855184316]}"
2604,3,307.5956,49.0,1.5199101,-0.87066245,3.6293411,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.75656488583775,39.6477730645844]}"
2605,3,180.0,22.0,0.92740995,1.5930599,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.9050564023027,39.23598533834401]}"
2606,3,345.42807,89.0,4.780464,2.4921136,2.481365,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.27049105988253,39.70382793831345]}"
2607,3,180.0,53.0,0.92740995,-0.34700316,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.01366272015277,39.85501440063077]}"
2608,3,270.0,87.0,1.2095459,-0.49211356,3.8578334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.17347300919764,39.94206115166195]}"
2609,3,111.21776,49.0,5.111877,2.2933755,2.414002,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.1529914207197,39.062161330866886]}"
2610,3,180.0,77.0,0.92740995,-1.2018927,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.08022788270603,38.97565356900617]}"
2611,3,104.389465,81.0,3.726915,1.6466877,2.7312343,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.26671813568923,39.67472252310798]}"
2612,3,307.59326,56.0,1.5199906,0.9148265,3.6292882,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.19934448938027,39.65370194545959]}"
2613,3,180.0,40.0,0.92740995,-0.23028392,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.03144936277833,39.62783046527694]}"
2614,3,-0.0,47.0,0.92740995,-0.17981073,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.8110027920554,39.63780176493067]}"
2615,3,213.00307,82.0,2.2107913,-0.3564669,3.25438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.2815403378772,39.66016981550524]}"
2616,3,-0.0,80.0,2.7802885,-1.466877,3.0248868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.09262463362687,38.98077396612565]}"
2617,3,180.0,23.0,3.7047918,1.1640378,2.7372048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.83956921809039,38.623693640688145]}"
2618,3,127.526535,49.0,1.5222932,0.28391168,3.6277738,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.01797463351653,39.81971060996487]}"
2619,3,248.97096,112.0,2.582933,0.64037853,3.0986238,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.3063338397189,39.74559959902501]}"
2620,3,180.0,47.0,0.92740995,-0.3911672,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.97620297280497,39.810008804896384]}"
2621,3,127.89083,92.0,3.017568,3.230284,2.9428506,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.04654105955154,38.90208154723678]}"
2622,3,-0.0,98.0,5.547545,-2.066246,2.3317397,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.28019286495103,39.7477555557069]}"
2623,3,-0.0,46.0,2.7802885,-2.7192428,3.0248868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.1537999044754,39.05838840667358]}"
2624,3,52.17431,14.0,1.51204,0.81388015,3.634535,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.67436903734082,39.068090211742074]}"
2625,3,62.626247,81.0,4.027737,1.3470031,2.653373,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.16970008500432,39.044644182826545]}"
2626,3,213.01076,60.0,2.2109838,-0.70347005,3.254293,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.17428149295333,39.68065140398317]}"
