system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
79,376.0,687.0,495.5,1147.5,2429.0,2672.0,2806.5,1861.5,1151.5,2882.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.35300748982831,38.2710607966366]}"
80,344.0,730.0,341.0,1157.5,3284.0,3879.5,4135.0,1840.5,899.0,3999.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.1980481033177,38.09346386496617]}"
81,463.0,777.0,686.0,1230.0,2143.0,2310.0,2469.0,2282.0,1589.0,2488.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.08657175084032,38.26513191576141]}"
82,298.0,465.0,509.0,813.0,1235.5,1390.0,1524.0,2286.5,1802.0,1579.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.00401200194788,38.026359713242435]}"
83,471.0,679.5,884.5,1045.5,1120.5,1220.0,1311.0,2425.0,2218.5,1339.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.76937662401771,38.649161699722505]}"
84,409.0,581.0,590.0,913.0,1303.5,1429.0,1551.5,1805.5,1348.5,1576.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.36028384362969,37.8374440089921]}"
85,484.5,707.0,851.5,1290.0,1768.5,1947.5,2128.5,2460.0,1758.5,2210.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.97733203800954,37.90347018237489]}"
86,391.0,704.5,592.5,1181.5,2317.0,2490.5,2631.5,2251.0,1569.0,2633.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.15438998050949,38.188056464383955]}"
87,390.0,587.0,530.5,988.0,1779.0,1982.0,2086.5,1958.0,1265.5,2209.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.43062193037625,38.18751747521348]}"
88,425.0,701.5,607.0,1241.0,1985.0,2198.0,2381.5,1849.5,1289.0,2426.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.27808799513275,38.17619870263358]}"
89,330.5,553.0,502.0,992.0,1618.5,1819.0,1999.0,1836.0,1271.5,2049.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.34519214685648,38.09211639203998]}"
90,696.0,976.0,1240.5,1600.0,1826.5,1957.0,2102.0,3049.0,2637.0,2144.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.1312134461792,38.07702469526678]}"
91,400.0,579.0,637.0,958.0,1340.0,1472.0,1611.5,1838.5,1394.5,1679.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.40609792311977,38.239529930164004]}"
92,253.0,558.0,522.0,1010.0,1894.0,2076.0,2282.0,1883.0,1212.0,2311.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.38274630001452,38.40580808925452]}"
93,347.5,695.5,472.0,1182.5,2797.0,3098.5,3329.0,1785.5,1079.5,3268.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.32848348257185,38.080258630289606]}"
94,351.0,679.0,380.0,1045.5,2495.0,2696.5,3046.5,1641.0,919.0,2891.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.21772120803992,37.947936788938804]}"
95,164.0,340.5,440.5,838.5,1144.0,1321.5,1456.5,1617.0,1115.5,1538.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.92990099100803,38.29019491218834]}"
96,444.0,635.0,665.0,989.0,1374.0,1525.0,1704.0,1956.0,1407.0,1759.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5694116417727,38.4672528546883]}"
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62438853716083,38.29181187969976]}"
98,299.5,456.0,426.0,700.5,1132.0,1295.5,1323.0,1120.0,735.5,1399.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.34222770641888,37.793246897013425]}"
99,314.5,474.5,483.5,885.0,1438.5,1626.5,1807.5,1757.5,1231.5,1842.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.32120712877048,38.09615881081852]}"
100,561.0,960.0,901.0,1555.0,2271.0,2460.5,2569.0,2554.0,2001.0,2535.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.22715351852317,38.189673431895365]}"
101,409.0,571.0,612.0,1112.0,1652.0,1822.0,1967.0,2042.0,1475.0,2174.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.81752174896467,37.65984707732167]}"
102,362.0,528.0,636.0,1036.0,1620.0,1763.0,2003.0,2022.0,1311.0,2126.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.24790460158633,38.3071730710582]}"
103,463.0,715.5,708.5,1220.0,1938.0,2192.5,2364.0,2149.0,1607.0,2318.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3228240962819,38.13361855816631]}"
104,436.5,623.5,751.0,1067.5,1442.5,1582.0,1738.0,2050.0,1577.5,1815.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.38804178590898,38.1929073669182]}"
105,343.5,655.0,540.5,1092.0,2354.0,2633.5,2788.0,2035.0,1326.0,2835.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.13256091910539,38.29423733096688]}"
106,362.0,553.5,585.0,993.5,1611.5,1777.5,1955.5,1856.0,1343.5,2001.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.38103492669285,38.16784437049126]}"
107,289.0,430.5,478.5,749.0,1007.0,1127.5,1253.5,1539.5,1186.5,1300.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.07354160493873,37.96383696946772]}"
108,494.0,649.0,768.0,1032.0,1229.0,1376.0,1501.0,2244.0,1758.0,1507.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.57776597391502,38.35244816137782]}"
109,328.0,535.5,513.0,971.5,1610.0,1780.5,1993.0,2097.5,1434.0,2029.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.14387969168529,38.235487511385465]}"
110,304.0,588.0,420.5,1075.5,2235.5,2427.0,2572.5,1742.5,1059.0,2609.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.21475676760232,38.168922348832204]}"
111,362.0,737.0,509.0,1233.0,2564.5,2779.0,2923.5,1897.5,1166.0,2930.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.21044485423855,38.33331404582608]}"
112,252.0,409.0,385.0,949.0,1654.0,1729.0,1974.0,1477.0,811.0,2149.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29102373522407,38.333044551240846]}"
113,282.0,409.0,588.5,815.0,1001.0,1134.0,1321.0,1940.0,1444.5,1396.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.09456218258713,38.074060254829185]}"
114,367.0,610.0,658.5,1145.5,1624.5,1788.5,2001.5,2017.0,1462.5,2051.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.19238871702774,38.18347505643494]}"
115,381.5,679.0,611.0,1214.0,2282.0,2531.5,2703.5,2106.0,1436.0,2731.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.09456218258713,38.08564852199433]}"
116,274.0,508.5,430.0,893.0,1800.5,1998.5,2170.0,1579.5,944.0,2173.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.44688601130066,38.2433028543573]}"
117,335.5,536.5,525.0,964.5,1586.0,1752.5,1870.0,1768.5,1232.5,1919.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.19993456541435,38.10289617544942]}"
118,285.5,487.5,534.0,938.0,1438.5,1622.5,1825.5,2059.5,1384.0,1871.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.09294521507572,38.10397415379037]}"
119,472.0,648.0,627.0,957.0,1287.0,1407.0,1517.0,1624.0,1235.0,1579.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56321326631229,38.44973570664797]}"
120,519.0,630.0,721.0,1023.0,1211.0,1353.0,1549.0,2396.0,1814.0,1654.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.50554142507181,38.2815710854608]}"
121,305.5,512.0,479.5,945.0,1482.5,1657.5,1824.5,1602.5,1031.0,1889.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.29856958361067,38.198027764037676]}"
122,280.0,428.0,406.0,775.0,1533.5,1784.0,1972.0,1824.0,1143.0,2012.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.23739431276213,38.11205899134744]}"
123,366.0,599.5,560.0,1038.0,1764.0,1939.5,2110.0,1883.5,1340.0,2142.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.33279539593562,38.10397415379037]}"
124,844.5,1143.0,1137.5,1643.5,2393.0,2623.5,2782.5,2555.5,1928.0,2850.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.37483655123242,38.17377325136645]}"
125,484.0,708.5,720.5,1154.0,1494.5,1640.0,1782.5,2237.5,1598.0,1851.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.28132193015558,38.19506332360008]}"
126,502.0,706.0,672.0,1038.5,1622.0,1792.5,1917.0,1921.0,1424.0,1927.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.40313348268218,38.23387054387405]}"
127,1377.0,1718.0,2018.0,2308.0,2340.0,2451.0,2619.0,3611.0,3441.0,2582.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.46915965606497,38.287230471750746]}"
128,414.5,644.5,603.5,1065.0,1706.0,1945.5,2000.5,2140.5,1608.0,2124.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.3123138074577,38.08295357614197]}"
129,343.0,498.0,593.0,1026.0,1494.5,1741.0,1927.5,1911.0,1289.5,1990.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.35758889777732,38.16784437049126]}"
