system:index,crop_label,sol_bulk_density,sol_clay_pct,sol_organic_carbon,sol_ph_h2o,sol_sand_pct,sol_texture_class,.geo
620,1,142.0,31.0,4.0,70.0,29.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.22238213482166,39.268585217715085]}"
621,1,162.0,44.0,4.0,77.0,19.0,1.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.67045722425863,38.916625289397054]}"
622,1,141.0,28.0,3.0,70.0,29.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.1776460336725,39.3626388279624]}"
623,1,152.0,28.0,3.0,72.0,34.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.23450939115727,39.251607058845224]}"
624,1,131.0,37.0,5.0,72.0,21.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.07550758586811,39.401176553651126]}"
625,1,129.0,38.0,9.0,76.0,23.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.86368484187273,39.567993701912116]}"
626,1,154.0,23.0,2.0,71.0,38.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.08278393966948,39.57553955029872]}"
627,1,143.0,38.0,4.0,74.0,22.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.11000289277831,39.35778792542815]}"
628,1,143.0,26.0,4.0,71.0,34.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.049097116515,39.57500056112825]}"
629,1,143.0,38.0,4.0,74.0,22.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.763432856165,39.48876229385278]}"
630,1,144.0,24.0,3.0,75.0,41.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.47965505791163,39.09772565067555]}"
631,1,144.0,39.0,5.0,75.0,25.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.53975235041923,38.780800018438185]}"
632,1,149.0,29.0,4.0,69.0,24.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.1948936871276,39.50115904477363]}"
633,1,144.0,29.0,3.0,76.0,33.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.53624892081116,38.93117799699979]}"
634,1,148.0,34.0,3.0,76.0,24.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.8679967552365,39.02577059641757]}"
635,1,134.0,35.0,4.0,74.0,24.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.0814364667433,39.51517276320589]}"
636,1,143.0,29.0,5.0,70.0,32.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.7432207622723,39.367220235911404]}"
637,1,138.0,45.0,5.0,77.0,17.0,1.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.03427491432703,39.52945597622339]}"
638,1,142.0,41.0,5.0,75.0,21.0,1.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.7688227478697,39.13329893592668]}"
639,1,140.0,40.0,3.0,72.0,22.0,1.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.78283646630197,39.40602745618537]}"
640,1,143.0,26.0,3.0,71.0,32.0,7.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.2431332178848,39.29634315999438]}"
641,1,130.0,38.0,5.0,72.0,23.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.08467040176613,39.251607058845224]}"
642,1,138.0,45.0,4.0,74.0,15.0,1.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.07119567250433,39.50789640940452]}"
643,1,144.0,40.0,20.0,73.0,24.0,4.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62275668267188,38.93036951324408]}"
644,1,130.0,40.0,14.0,69.0,19.0,2.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.06445830787345,39.48876229385278]}"
