system:index,crop_label,topo_aspect,topo_elevation,topo_slope,topo_tpi,topo_twi,.geo
121,0,90.0,43.0,1.1172171,0.39747635,3.9372594,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.60326032715798,33.89352468062839]}"
122,0,90.0,58.0,2.2478063,-0.51735014,3.2377589,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.33062621270956,34.43008839983298]}"
123,0,-0.0,33.0,0.92740995,-1.2239747,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.31544011012609,33.40034958964677]}"
124,0,-0.0,34.0,0.0,0.3659306,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.83960707840984,33.25751745947177]}"
125,0,158.2559,36.0,2.9928927,-0.3753943,2.9510765,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.09993884774767,33.30521800105852]}"
126,0,-0.0,49.0,0.0,-0.8170347,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.42521881212735,33.97464255078438]}"
127,0,90.0,54.0,1.1201582,-0.48895898,3.9346297,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.40770166408701,34.11693569178891]}"
128,0,50.12696,35.0,1.4464364,0.41324922,3.6789117,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.84526646469979,33.349684607622436]}"
129,0,-0.0,35.0,0.0,1.3154575,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.3192130343194,33.64558966221141]}"
130,0,-0.0,51.0,0.0,0.40694007,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.45018740274402,34.45488190167468]}"
131,0,292.64972,35.0,2.4070473,-0.4731861,3.1692376,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.79567946101639,33.43026348860795]}"
132,0,292.4501,54.0,2.4273036,0.06940063,3.1608474,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.1783617720513,34.27054760537335]}"
133,0,90.0,60.0,1.1276959,-0.6182965,3.9279213,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.83017476792658,34.678292912835204]}"
134,0,292.60718,37.0,2.4113333,0.33123028,3.1674564,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.30331285379049,33.61109435530121]}"
135,0,180.0,31.0,0.92740995,-1.6403786,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.53022729455907,33.18879634023662]}"
136,0,309.42975,52.0,1.4599967,-1.104101,3.6695764,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.17970924497749,34.68637775039228]}"
137,0,210.96414,36.0,2.1622436,1.3280758,3.2766056,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.57469390112298,33.558542911180226]}"
138,0,112.55505,44.0,2.416608,1.6908517,3.165269,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.7687300024928,33.83127143143891]}"
139,0,180.0,58.0,0.92740995,-0.6561514,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.6728843359591,33.67927648536589]}"
140,0,247.38745,36.0,2.4107914,-1.1451104,3.1676815,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.30331285379049,33.5884568101414]}"
141,0,-0.0,37.0,0.0,-0.851735,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.80268632023252,33.54668514942985]}"
142,0,112.6138,35.0,2.4106658,-2.097792,3.1677337,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.30088740252336,33.583066918436685]}"
143,0,-0.0,36.0,0.92740995,-0.35962147,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.25318686093661,33.324891105780736]}"
144,0,129.62543,53.0,1.4539692,-0.46687698,3.673715,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.49555689887391,34.10426944628283]}"
145,0,180.0,49.0,1.8543341,-0.22082019,3.430352,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.85038686181927,34.43197486192963]}"
146,0,328.82568,48.0,2.1670232,-1.8548896,3.2743955,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.36853054341756,34.26569670283911]}"
147,0,-0.0,36.0,0.92740995,0.4164038,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.80430328774393,33.41139886764144]}"
148,0,309.63364,46.0,1.4537175,0.25867507,3.6738882,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.01962946134739,34.07947594444113]}"
149,0,-0.0,49.0,0.0,-0.0851735,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.58493469536195,34.36756565605826]}"
150,0,129.6693,50.0,1.4526267,0.09463722,3.6746392,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.4308781984173,33.971947604932026]}"
151,0,-0.0,52.0,0.0,0.5741325,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.51729155446775,34.35220446469982]}"
152,0,270.0,61.0,2.2551386,-1.3154575,3.234499,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.53166917329551,34.701199952580254]}"
153,0,148.77547,61.0,2.1681726,-0.018927446,3.2738647,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.49501790970344,34.43170536734439]}"
